university,total.number,doctor.number,master.number,bechelor.number,other.number,total.percentage,doctor.percentage,master.percentage,bechelor.percentage,other.percentage
國立臺灣大學,"2,066","1,926",71,69,0,100,93.2,3.4,3.3,0
國立政治大學,744,660,56,28,0,100,88.7,7.5,3.8,0
國立清華大學,662,632,22,8,0,100,95.5,3.3,1.2,0
國立臺灣師範大學,894,779,93,15,7,100,87.1,10.4,1.7,0.8
國立成功大學,"1,347",1174,76,97,0,100,87.2,5.6,7.2,0
國立中興大學,778,712,50,16,0,100,91.5,6.4,2.1,0
國立交通大學,720,678,38,4,0,100,94.2,5.3,0.6,0
國立中央大學,663,616,36,11,0,100,92.9,5.4,1.7,0
國立中山大學,525,501,13,10,1,100,95.4,2.5,1.9,0.2
國立臺灣海洋大學,410,377,20,13,0,100,92,4.9,3.2,0
國立中正大學,543,520,21,2,0,100,95.8,3.9,0.4,0
國立高雄師範大學,301,281,18,2,0,100,93.4,6,0.7,0
國立彰化師範大學,381,357,22,2,0,100,93.7,5.8,0.5,0
國立陽明大學,408,342,23,43,0,100,83.8,5.6,10.5,0
國立東華大學,509,470,37,1,1,100,92.3,7.3,0.2,0.2
私立東海大學,547,445,91,10,1,100,81.4,16.6,1.8,0.2
私立輔仁大學,716,590,111,14,1,100,82.4,15.5,2,0.1
私立中原大學,510,444,62,4,0,100,87.1,12.2,0.8,0
私立淡江大學,816,703,102,10,1,100,86.2,12.5,1.2,0.1
私立逢甲大學,644,558,78,5,3,100,86.6,12.1,0.8,0.5
